Paper;PaperID;Empirical Exp./Analysis;human?;"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)";Explanation;Task (to evaluate whether aggregation makes sense or not)
Strategies for product-line verification: case studies and experiments;ICSE13_91;yes;no;;;
Studios in software engineering education: towards an evaluable model;ICSE13_92;yes;yes;na;purely qualitative based on observation and interviews;
Supporting swift reaction: automatically uncovering performance problems by systematic experiments;ICSE13_93;yes;no;;;
Teaching developer skills in the first software engineering course;ICSE13_94;yes;yes;na;survey of students after course;
Teaching software process modeling;ICSE13_95;yes;yes;na;no tasks, but teaching evaluations;
Teaching students global software engineering skills using distributed scrum;ICSE13_96;yes;yes;na;scrum over the course of a semester in Canada and Finnland to teach distributed software development;
The design of bug fixes;ICSE13_97;yes;yes;na;interviews and survey with estimation of frequencies;
The role of domain knowledge and cross-functional communication in socio-technical coordination;ICSE13_98;yes;yes;na;interviews, observation, and survey about communication behavior;
Toddler: detecting performance problems via similar memory-access patterns;ICSE13_99;yes;no;;;
Cowboys, Ankle Sprains, and Keepers of Quality: How Is Video Game Development Different from Software Development?;ICSE2014_1;yes;yes;na;Qualitative study;
Enhancing Symbolic Execution with Veritesting;ICSE2014_10;yes;no;;;
Manual Refactoring Changes with Automated Refactoring Validation;ICSE2014_11;yes;yes;s;Evaluation of refactoring tool/iDE plugin. Two study groups: with/without tool. Plotting (and brief discussion of) results of individual tasks.;Six refactoring tasks
Alternate Refactoring Paths Reveal Usability Problems;ICSE2014_12;yes;yes;na;Qualitative study: critical incident technique;
A Study and Toolkit for Asynchronous Programming in C#;ICSE2014_13;yes;no;;;
Reuse-Oriented Reverse Engineering of Functional Components from X86 Binaries;ICSE2014_14;yes;no;;;
Lifting Model Transformations to Product Lines;ICSE2014_15;yes;no;;;
Analyze This! 145 Questions for Data Scientists in Software Engineering;ICSE2014_16;yes;yes;na;Qualitative study;
Automated Goal Operationalisation Based on Interpolation and SAT Solving;ICSE2014_17;yes;no;;;
Mining Configuration Constraints: Static Analyses and Empirical Results;ICSE2014_18;yes;no;;;
Which Configuration Option Should I Change?;ICSE2014_19;yes;no;;;
Detecting Performance Anti-patterns for Applications Developed using Object-Relational Mapping;ICSE2014_2;yes;no;;;
Detecting Differences across Multiple Instances of Code Clones;ICSE2014_20;yes;yes;av;Evaluation of refactoring/diff tool, compared against existing tool. Matched participant two groups design, no mention of individual tasks, discussion on averages;8 clone-related refactoring tasks
Achieving Accuracy and Scalability Simultaneously in Detecting Application Clones on Android Markets;ICSE2014_21;yes;no;;;
Two's Company, Three's a Crowd: A Case Study of Crowdsourcing Software Development;ICSE2014_22;yes;no;;;
Does Latitude Hurt while Longitude Kills? Geographical and Temporal Separation in a Large Scale Software Development Project;ICSE2014_23;yes;no;;;
Software Engineering at the Speed of Light: How Developers Stay Current using Twitter;ICSE2014_24;yes;yes;na;Qualitative studies;
Building It Together: Synchronous Development in OSS;ICSE2014_25;yes;no;;;
"A Critical Review of ""Automatic Patch Generation Learned from Human-Written Patches"": Essay on the Problem Statement and the Evaluation of Automatic Software Repair";ICSE2014_26;no;no;;;
The Dimensions of Software Engineering Success;ICSE2014_27;yes;yes;na;Qualitative work;
Data-Guided Repair of Selection Statements;ICSE2014_28;yes;no;;;
The Strength of Random Search on Automated Program Repair;ICSE2014_29;yes;no;;;
Characterizing and Detecting Performance Bugs for Smartphone Applications;ICSE2014_3;yes;no;;;
MintHint: Automated Synthesis of Repair Hints;ICSE2014_30;yes;yes;s;Amongst others, user study to evaluate repair hint tool, individual discussion;"Somewhat unclear, ""fault localization task"", which was fulfilled when all tests passed"
Mining Behavior Models from User-Intensive Web Applications;ICSE2014_31;yes;no;;;
Reviser: Efficiently Updating IDE-/IFDS-Based Data-Flow Analyses in Response to Incremental Program Changes;ICSE2014_32;yes;no;;;
Automated Design of Self-Adaptive Software with Control-Theoretical Formal Guarantees;ICSE2014_33;yes;no;;;
Perturbation Analysis of Stochastic Systems with Empirical Distribution Parameters;ICSE2014_34;yes;no;;;
How Do Centralized and Distributed Version Control Systems Impact Software Changes?;ICSE2014_35;yes;no;;;
Transition from Centralized to Decentralized Version Control Systems: A Case Study on Reasons, Barriers, and Outcomes;ICSE2014_36;yes;yes;na;interviews/survey;
An Exploratory Study of the Pull-Based Software Development Model;ICSE2014_37;yes;no;;;
Influence of Social and Technical Factors for Evaluating Contribution in GitHub;ICSE2014_38;yes;no;;;
How Do Professionals Perceive Legacy Systems and Software Modernization?;ICSE2014_39;yes;yes;na;interviews/survey;
Checking App Behavior Against App Descriptions;ICSE2014_4;yes;no;;;
Understanding JavaScript Event-Based Interactions;ICSE2014_40;yes;yes;s;Two controlled studies to evaluate tool, between-subject design: with/without tool, ;Various comprehension tasks
Understanding Understanding Source Code with Functional Magnetic Resonance Imaging;ICSE2014_41;yes;yes;av;Groundbreaking fMRI study, within-subject design;Bottom-up comprehension vs. location syntax errors
Improving Automated Source Code Summarization via an Eye-Tracking Study of Programmers;ICSE2014_42;yes;yes;both;Eye-tracking study, results are largely averaged, a single example is based on a single task;Reading, comprehending, and summarizing Java methods
Using Psycho-Physiological Measures to Assess Task Difficulty in Software Development;ICSE2014_43;yes;yes;av;Predicting code difficulty with biometrics, used machine learning for classifcation of difficult/easy;Short comprehension tasks
Dictionary Learning Based Software Defect Prediction;ICSE2014_44;yes;no;;;
Comparing Static Bug Finders and Statistical Prediction;ICSE2014_45;yes;no;;;
Coverage Is Not Strongly Correlated with Test Suite Effectiveness;ICSE2014_46;yes;no;;;
How to Make Best Use of Cross-Company Data in Software Effort Estimation?;ICSE2014_47;yes;no;;;
CARE: Cache Guided Deterministic Replay for Concurrent Java Programs;ICSE2014_48;yes;no;;;
Inferring Models of Concurrent Systems from Logs of Their Behavior with CSight;ICSE2014_49;yes;yes;s;Controlled study to evaluate tool, within-subject, two tasks either with or without tool, results are discussed on individual tasks;Find bug in concurrent systems
AsDroid: Detecting Stealthy Behaviors in Android Applications by User Interface and Program Behavior Contradiction;ICSE2014_5;yes;no;;;
SimRT: An Automated Framework to Support Regression Testing for Data Races;ICSE2014_50;yes;no;;;
Unleashing Concurrency for Irregular Data Structures;ICSE2014_51;yes;no;;;
ConLock: A Constraint-Based Approach to Dynamic Checking on Deadlocks in Multithreaded Programs;ICSE2014_52;yes;no;;;
SEEDS: A Software Engineer's Energy-Optimization Decision Support Framework;ICSE2014_53;yes;no;;;
APE: An Annotation Language and Middleware for Energy-Efficient Mobile Application Development;ICSE2014_54;yes;no;;;
Making Web Applications More Energy Efficient for OLED Smartphones;ICSE2014_55;yes;yes;na;Online survey to evaluate changed website coloring;
Micro Execution;ICSE2014_56;yes;no;;;
Unit Test Virtualization with VMVM;ICSE2014_57;yes;no;;;
Interpolated N-Grams for Model Based Testing;ICSE2014_58;yes;no;;;
An Analysis of the Relationship between Conditional Entropy and Failed Error Propagation in Software Testing;ICSE2014_59;yes;no;;;
Patch Verification via Multiversion Interprocedural Control Flow Graphs;ICSE2014_6;yes;no;;;
Trading Robustness for Maintainability: An Empirical Study of Evolving C# Programs;ICSE2014_60;yes;no;;;
Case Studies and Tools for Contract Specifications;ICSE2014_61;yes;yes;na;Case study with individual developer;
Performance Regression Testing Target Prioritization via Performance Risk Analysis;ICSE2014_62;yes;no;;;
Using Dynamic Analysis to Generate Disjunctive Invariants;ICSE2014_63;yes;no;;;
Inductive Verification of Data Model Invariants for Web Applications;ICSE2014_64;yes;no;;;
How Do API Documentation and Static Typing Affect API Usability?;ICSE2014_65;yes;yes;s, but only one task;Controlled experiment to evaluate effect of API documentation and static typing;Single API usage task, which takes hours to complete
Live API Documentation;ICSE2014_66;yes;no;;;
CodeHint: Dynamic and Interactive Synthesis of Code Snippets;ICSE2014_67;yes;yes;av;Evaluation of code sythesis tool, two studies on single-line and open-ended tasks, many tasks (15 and 3, resp.), discussion on averages;
Spotting Working Code Examples;ICSE2014_68;yes;no;;;
Self-Adaptation through Incremental Generative Model Transformations at Runtime;ICSE2014_69;yes;no;;;
Property Differencing for Incremental Checking;ICSE2014_7;yes;no;;;
Hope for the Best, Prepare for the Worst: Multi-tier Control for Adaptive Systems;ICSE2014_70;no?;no;;;
Brownout: Building More Robust Cloud Applications;ICSE2014_71;yes;no;;;
Integrating Adaptive User Interface Capabilities in Enterprise Applications;ICSE2014_72;yes;yes;na;Interviews/discussions;
Code Coverage for Suite Evaluation by Developers;ICSE2014_73;yes;no;;;
Programmers' Build Errors: A Case Study (at Google);ICSE2014_74;yes;no;;;
Understanding and Improving Software Build Teams;ICSE2014_75;yes;yes;na;Interviews/survey/focus group;
Towards Efficient Optimization in Package Management Systems;ICSE2014_76;yes;no;;;
Easing Software Component Repository Evolution;ICSE2014_77;yes;no;;;
AR-Miner: Mining Informative Reviews for Developers from Mobile App Marketplace;ICSE2014_78;yes;no;;;
Mining Billions of AST Nodes to Study Actual and Potential Usage of Java Language Features;ICSE2014_79;yes;no;;;
TradeMaker: Automated Dynamic Analysis of Synthesized Tradespaces;ICSE2014_8;yes;no;;;
Mining Interprocedural, Data-Oriented Usage Patterns in JavaScript Web Applications;ICSE2014_80;yes;no;;;
Mining Fine-Grained Code Changes to Detect Unknown Change Patterns;ICSE2014_81;yes;yes;na;survey;
Detecting Memory Leaks through Introspective Dynamic Behavior Modeling using Machine Learning;ICSE2014_82;yes;no;;;
Automated Memory Leak Detection for Production Use;ICSE2014_83;yes;no;;;
Time Pressure: A Controlled Experiment of Test Case Development and Requirements Review;ICSE2014_84;yes;yes;av;Controlled study to evaluate time pressure, two-by-two crossover design. Only two tasks, but discussion is on average basis;Requirement
Vejovis: Suggesting Fixes for JavaScript Faults;ICSE2014_85;yes;no;;;
Is Spreadsheet Ambiguity Harmful? Detecting and Repairing Spreadsheet Smells due to Ambiguous Computation;ICSE2014_86;yes;no;;;
Us and Them: A Study of Privacy Requirements Across North America, Asia, and Europe;ICSE2014_87;yes;no;;;
Distilling Privacy Requirements for Mobile Applications;ICSE2014_88;yes;no;;;
Uncertainty, Risk, and Information Value in Software Requirements and Architecture;ICSE2014_89;no;no;;;
Symbolic Assume-Guarantee Reasoning through BDD Learning;ICSE2014_9;yes;no;;;
Requirements Fixation;ICSE2014_90;yes;yes;s;Requirements study, between-subject randomized, analysis on individual task;Develop design concepts
Exploring Variability-Aware Execution for Testing Plugin-Based Web Applications;ICSE2014_91;yes;no;;;
A Study of Equivalent and Stubborn Mutation Operators using Human Analysis of Equivalence;ICSE2014_92;yes;no;;;
Cross-Checking Oracles from Intrinsic Software Redundancy;ICSE2014_93;yes;no;;;
Mind the Gap: Assessing the Conformance of Software Traceability to Relevant Guidelines;ICSE2014_94;yes;no;;;
Verifying Component and Connector Models against Crosscutting Structural Views;ICSE2014_95;yes;yes;na;Survey, only minor part;
Effects of Using Examples on Structural Model Comprehension: A Controlled Experiment;ICSE2014_96;yes;yes;both;Controlled study to evaluate example driven modeling, does it improve comprehension? Two groups: model with/without examples. Lots of individual task analysis, but also some average results;Various tasks
Design Rule Spaces: A New Form of Architecture Insight;ICSE2014_97;yes;no;;;
Controlled Modeling Environment using Flexibly-Formatted Spreadsheets;ICSE2014_98;yes;yes;both;Controlled study to evaluate spreadsheet-based models, preliminary study, some average and some individual results;Four modelling tasks, details unclear
Feature Maintenance with Emergent Interfaces;ICSE2014_99;yes;yes;s;Controlled study to evaluate a tool for dealing with feature dependencies, ;Four different kinds of maintenance tasks
Truth in Advertising: The Hidden Cost of Mobile Ads for Software Developers;ICSE2015_1;yes;no;;;
Developing and Evaluating Software Engineering Process Theories;ICSE2015_10;no;no;;;
Lightweight Adaptive Filtering for Efficient Learning and Updating of Probabilistic Models;ICSE2015_11;yes;no;;;
Tempura: Temporal Dimension for IDEs;ICSE2015_12;yes;yes;av;Controlled user study to evaluate plugin for IDE, which provides historical code. 10 participants where split up into two groups, which either were able to use the plugin or not: only averages are presented;Answer questions about code history
Supporting Selective Undo in a Code Editor;ICSE2015_13;yes;yes;both;Controlled study to evaluate the usability and usefulness of AZURITE, between-subjects design with two groups: with/without tool. Largely discussion on individual tasks, but some averages are presented;6 various programming tasks in Java, one particularly for code history
Cascade: A Universal Programmer-Assisted Type Qualifier Inference Tool;ICSE2015_14;yes;yes;a;Controlled study to compare type-interference Julia and Cascade tools, within-subject design;Insert nullness annotations using each tool for two programs
RECONTEST: Effective Regression Testing of Concurrent Programs;ICSE2015_15;yes;no;;;
A Synergistic Analysis Method for Explaining Failed Regression Tests;ICSE2015_16;yes;no;;;
An Information Retrieval Approach for Regression Test Prioritization Based on Program Changes;ICSE2015_17;yes;no;;;
IccTA: Detecting Inter-Component Privacy Leaks in Android Apps;ICSE2015_18;yes;no;;;
Do Security Patterns Really Help Designers?;ICSE2015_19;yes;yes;s;Controlled study to evaluate the helpfulness of security patterns, everything is presented on a single task basis;Six tasks to extend and harden security of design
Interactive Code Review for Systematic Changes;ICSE2015_2;yes;yes;s, but only one task;Two studies to evaluate diff tool, one with professionals, one to compare with eclipse default diff view;Second study: review two patches, one with eclipse diff, one with the tool
AppContext: Differentiating Malicious and Benign Mobile App Behaviors Using Context;ICSE2015_20;yes;no;;;
TypeDevil: Dynamic Type Inconsistency Analysis for JavaScript;ICSE2015_21;yes;no;;;
Automated Data Structure Generation: Refuting Common Wisdom;ICSE2015_22;yes;no;;;
Detecting Inconsistencies in JavaScript MVC Applications;ICSE2015_23;yes;no;;;
AutoCSP: Automatically Retrofitting CSP to Web Applications;ICSE2015_24;yes;no;;;
How Much Up-Front? A Grounded theory of Agile Architecture;ICSE2015_25;yes;yes;na;Grounded theory of agile;
Work Practices and Challenges in Pull-Based Development: The Integrator's Perspective;ICSE2015_26;yes;yes;na;Qualitative, exploratory survey;
Build It Yourself! Homegrown Tools in a Large Software Company;ICSE2015_27;yes;yes;na;Qualtitative study;
Morpheus: Variability-Aware Refactoring in the Wild;ICSE2015_28;yes;no;;;
Does Automated Refactoring Obviate Systematic Editing?;ICSE2015_29;yes;no;;;
Automated Decomposition of Build Targets;ICSE2015_3;yes;no;;;
When and Why Your Code Starts to Smell Bad;ICSE2015_30;yes;no;;;
Learning to Log: Helping Developers Make Informed Logging Decisions;ICSE2015_31;yes;yes;av;Online questionnaire to evaluate logging tool, only averages are discussed;Recover original logging statements
Mining Apps for Abnormal Usage of Sensitive Data;ICSE2015_32;yes;no;;;
Tracking Static Analysis Violations over Time to Capture Developer Characteristics;ICSE2015_33;yes;no;;;
Automated Modularization of GUI Test Cases;ICSE2015_34;yes;no;;;
DirectFix: Looking for Simple Program Repairs;ICSE2015_35;yes;no;;;
Safe Memory-Leak Fixing for C Programs;ICSE2015_36;yes;no;;;
relifix: Automated Repair of Software Regressions;ICSE2015_37;yes;no;;;
The Art of Testing Less without Sacrificing Quality;ICSE2015_38;yes;no;;;
No PAIN, No Gain? The Utility of PArallel Fault INjections;ICSE2015_39;yes;no;;;
Helping Developers Help Themselves: Automatic Decomposition of Code Review Changesets;ICSE2015_4;yes;yes;na;Qualitative user study;
A Flexible and Non-intrusive Approach for Computing Complex Structural Coverage Metrics;ICSE2015_40;yes;no;;;
Combining Multi-Objective Search and Constraint Solving for Configuring Large Software Product Lines;ICSE2015_41;yes;no;;;
A Genetic Algorithm for Detecting Significant Floating-Point Inaccuracies;ICSE2015_42;yes;no;;;
Learning Combinatorial Interaction Test Generation Strategies Using Hyperheuristic Search;ICSE2015_43;yes;no;;;
Making System User Interactive Tests Repeatable: When and What Should We Control?;ICSE2015_44;yes;no;;;
Borrowing from the Crowd: A Study of Recombination in Software Design Competitions;ICSE2015_45;yes;yes;na;Qualitative user study;
From Developer Networks to Verified Communities: A Fine-Grained Approach;ICSE2015_46;yes;yes;na;survey to validate tool result;
Open Source-Style Collaborative Development Practices in Commercial Projects Using GitHub;ICSE2015_47;yes;yes;na;Mixed-method approach, qualitative;
Database-Backed Program Analysis for Scalable Error Propagation;ICSE2015_48;yes;no;;;
Tricorder: Building a Program Analysis Ecosystem;ICSE2015_49;yes;no;;;
Data-Delineation in Software Binaries and its Application to Buffer-Overrun Discovery;ICSE2015_5;yes;no;;;
Alloy*: A General-Purpose Higher-Order Relational Constraint Solver;ICSE2015_50;yes;no;;;
DASE: Document-Assisted Symbolic Execution for Improving Automated Software Testing;ICSE2015_51;yes;no;;;
Compositional Symbolic Execution with Memoized Replay;ICSE2015_52;yes;no;;;
Regular Property Guided Dynamic Symbolic Execution;ICSE2015_53;yes;no;;;
Combining Symbolic Execution and Model Checking for Data Flow Testing;ICSE2015_54;yes;no;;;
ZoomIn: Discovering Failures by Detecting Wrong Assertions;ICSE2015_55;yes;no;;;
Are Students Representatives of Professionals in Software Engineering Experiments?;ICSE2015_56;yes;yes;av;One-factor two-level, within-subjects design to compare students and professionals for SE experiments, discussion and results are on grouped tasks;Several groups of TDD implementations
Why Good Developers Write Bad Code: An Observational Case Study of the Impacts of Organizational Factors on Software Quality;ICSE2015_57;yes;yes;na;Qualitative long-term observation of developers;
Stuck and Frustrated or in Flow and Happy: Sensing Developers' Emotions and Progress;ICSE2015_58;yes;yes;a?;Lab study to investigate positive/negative emotions with biometrics;Two change tasks in Java
What Makes a Great Software Engineer?;ICSE2015_59;yes;yes;na;Qualitative study;
Measuring Software Redundancy;ICSE2015_6;yes;no;;;
Efficient Scalable Verification of LTL Specifications;ICSE2015_60;yes;no;;;
Empirical Study Towards a Leading Indicator for Cost of Formal Software Verification;ICSE2015_61;yes;no;;;
Specifying Event-Based Systems with a Counting Fluent Temporal Logic;ICSE2015_62;yes;no;;;
Coexecutability for Efficient Verification of Data Model Updates;ICSE2015_63;yes;no;;;
Assert Use in GitHub Projects;ICSE2015_64;yes;no;;;
A Programming Model for Sustainable Software;ICSE2015_65;yes;no;;;
Composite Constant Propagation: Application to Android Inter-Component Communication Analysis;ICSE2015_66;yes;no;;;
A Comparative Study of Programming Languages in Rosetta Code;ICSE2015_67;yes;no;;;
Revisiting the Impact of Classification Techniques on the Performance of Defect Prediction Models;ICSE2015_68;yes;no;;;
LACE2: Better Privacy-Preserving Data Sharing for Cross Project Defect Prediction;ICSE2015_69;yes;no;;;
Gray Computing: An Analysis of Computing with Background JavaScript Tasks;ICSE2015_7;yes;no;;;
The Impact of Mislabelling on the Performance and Interpretation of Defect Prediction Models;ICSE2015_70;yes;no;;;
ReCBuLC: Reproducing Concurrency Bugs Using Local Clocks;ICSE2015_71;yes;no;;;
Dynamic Generation of Likely Invariants for Multithreaded Programs;ICSE2015_72;yes;no;;;
GPredict: Generic Predictive Concurrency Analysis;ICSE2015_73;yes;no;;;
Graph-Based Statistical Language Model for Code;ICSE2015_74;yes;no;;;
Discovering Information Explaining API Types Using Text Classification;ICSE2015_75;yes;no;;;
How Can I Use This Method?;ICSE2015_76;yes;yes;s;survey and evaluation of example usage suggestion tool with two tasks, one without/with tool, paired design, individual results;Create two Java programs
Static Control-Flow Analysis of User-Driven Callbacks in Android Applications;ICSE2015_77;yes;no;;;
Hercules: Reproducing Crashes in Real-World Application Binaries;ICSE2015_78;yes;no;;;
Views on Internal and External Validity in Empirical Software Engineering;ICSE2015_79;yes;yes;na;Qualitative study;
Presence-Condition Simplification in Highly Configurable Systems;ICSE2015_8;yes;no;;;
CARAMEL: Detecting and Fixing Performance Problems That Have Non-Intrusive Fixes;ICSE2015_80;yes;no;;;
An Empirical Study on Real Bug Fixes;ICSE2015_81;yes;no;;;
Does the Failing Test Execute a Single or Multiple Faults? An Approach to Classifying Failing Tests;ICSE2015_82;yes;no;;;
Trivial Compiler Equivalence: A Large Scale Empirical Study of a Simple, Fast and Effective Equivalent Mutant Detection Technique;ICSE2015_83;yes;no;;;
Dynamic Data Flow Testing of Object Oriented Systems;ICSE2015_84;yes;no;;;
Symbolic Model Checking of Product-Line Requirements Using SAT-Based Methods;ICSE2015_9;yes;no;;;
Quantifying and Mitigating Turnover-Induced Knowledge Loss: Case Studies of Chrome and a Project at Avaya;ICSE2016_1;yes;no;;;
Scalable Thread Sharing Analysis;ICSE2016_10;yes;no;;;
The Challenges of Staying Together While Moving Fast: An Exploratory Study;ICSE2016_100;yes;yes;na;qualitative study;
The Sky Is Not the Limit: Multitasking Across GitHub Projects;ICSE2016_101;yes;yes;na;qualitative study;
Fixing Deadlocks via Lock Pre-Acquisitions;ICSE2016_11;yes;no;;;
Coverage-Driven Test Code Generation for Concurrent Classes;ICSE2016_12;yes;no;;;
Locking Discipline Inference and Checking;ICSE2016_13;yes;no;;;
Improving Refactoring Speed by 10X;ICSE2016_14;yes;yes;s;2 User studies to evaluate refactoring tool: two tasks each which were balanced by two groups. Individual tasks are discussed;3 Refactoring design patterns with/without the presented refactoring tool.
SourcererCC: Scaling Code Clone Detection to Big-Code;ICSE2016_15;yes;no;;;
Understanding Asynchronous Interactions in Full-Stack JavaScript;ICSE2016_16;yes;yes;s;User study to evaluate visualization tool that aids comprehension of async Javascript code. Three comprehension tasks for a single example.;Multiple, complex comprehension tasks of a async JS code
Shadow of a Doubt: Testing for Divergences between Software Versions;ICSE2016_17;yes;no;;;
Grounded Theory in Software Engineering Research: A Critical Review and Guidelines;ICSE2016_18;yes;no;;;
On the Techniques We Create, the Tools We Build, and Their Misalignments: A Study of KLEE;ICSE2016_19;yes;no;;;
Quality Experience: A Grounded Theory of Successful Agile Projects without Dedicated Testers;ICSE2016_2;yes;yes;na;Qualitative study with semi-structured interviews;
Release Planning of Mobile Apps Based on User Reviews;ICSE2016_20;yes;yes;na;Qualitative study;
Guiding Dynamic Symbolic Execution toward Unverified Program Executions;ICSE2016_21;yes;no;;;
Synthesizing Framework Models for Symbolic Execution;ICSE2016_22;yes;no;;;
Type-Aware Concolic Testing of JavaScript Programs;ICSE2016_23;yes;no;;;
An Empirical Comparison of Compiler Testing Techniques;ICSE2016_24;yes;no;;;
Termination-Checking for LLVM Peephole Optimizations;ICSE2016_25;yes;no;;;
Finding and Analyzing Compiler Warning Defects;ICSE2016_26;yes;no;;;
iDice: Problem Identification for Emerging Issues;ICSE2016_27;yes;no;;;
Energy Profiles of Java Collections Classes;ICSE2016_28;yes;no;;;
An Empirical Study of Practitioners' Perspectives on Green Software Engineering;ICSE2016_29;yes;yes;na;Survey on green SE/energy use;
Code Review Quality: How Developers See It;ICSE2016_3;yes;yes;na;Qualitative study;
Automated Energy Optimization of HTTP Requests for Mobile Applications;ICSE2016_30;yes;no;;;
Toward a Framework for Detecting Privacy Policy Violations in Android Application Code;ICSE2016_31;yes;no;;;
"Too Long; Didn't Watch! Extracting Relevant Fragments from Software Development Video Tutorials";ICSE2016_32;yes;yes;na;Two studies: survey and semi-structured interviews;
Overcoming Open Source Project Entry Barriers with a Portal for Newcomers;ICSE2016_33;yes;yes;na;Qualitative study/survey;
Work Practices and Challenges in Pull-Based Development: The Contributor's Perspective;ICSE2016_34;yes;yes;na;survey;
Automatically Learning Semantic Features for Defect Prediction;ICSE2016_35;yes;no;;;
PRADA: Prioritizing Android Devices for Apps by Mining Large-Scale Usage Data;ICSE2016_36;yes;no;;;
Cross-Project Defect Prediction Using a Connectivity-Based Unsupervised Classifier;ICSE2016_37;yes;no;;;
Automated Parameter Optimization of Classification Techniques for Defect Prediction Models;ICSE2016_38;yes;no;;;
AntMiner: Mining More Bugs by Reducing Noise Interference;ICSE2016_39;yes;no;;;
Revisiting Code Ownership and Its Relationship with Software Quality in the Scope of Modern Code Review;ICSE2016_4;yes;no;;;
Program Synthesis Using Natural Language;ICSE2016_40;yes;no;;;
SWIM: Synthesizing What I Mean - Code Search and Idiomatic Snippet Synthesis;ICSE2016_41;yes;no?;na;One developer graded solution of developed tool;
Cross-Supervised Synthesis of Web-Crawlers;ICSE2016_42;yes;no;;;
Mining Sandboxes;ICSE2016_43;yes;no;;;
Automatic Model Generation from Documentation for Java API Functions;ICSE2016_44;yes;no;;;
Augmenting API Documentation with Insights from Stack Overflow;ICSE2016_45;yes;yes;na;survey to evaluate tool;
From Word Embeddings to Document Similarities for Improved Information Retrieval in Software Engineering;ICSE2016_46;yes;no;;;
Learning API Usages from Bytecode: A Statistical Approach;ICSE2016_47;yes;no;;;
"On the ""Naturalness"" of Buggy Code";ICSE2016_48;yes;no;;;
Code Anomalies Flock Together: Exploring Code Anomaly Agglomerations for Locating Design Problems;ICSE2016_49;yes;no;;;
IntEQ: Recognizing Benign Integer Overflows via Equivalence Checking across Multiple Precisions;ICSE2016_5;yes;no;;;
Using (Bio)Metrics to Predict Code Quality Online;ICSE2016_50;yes;yes;av;Two studies, observing professional developers with biometrics to predict cognitive load;"No specific task, observed developers ""in the field"""
CUSTODES: Automatic Spreadsheet Cell Clustering and Smell Detection Using Strong and Weak Features;ICSE2016_51;yes;no;;;
"Disseminating Architectural Knowledge on Open-Source Projects: A Case Study of the Book ""Architecture of Open-Source Applications""";ICSE2016_52;yes;yes;na;Qualitative study;
Identifying and Quantifying Architectural Debt;ICSE2016_53;yes;no;;;
Generating Performance Distributions via Probabilistic Symbolic Execution;ICSE2016_54;yes;no;;;
Decoupling Level: A New Metric for Architectural Maintenance Complexity;ICSE2016_55;yes;no;;;
On The Limits of Mutation Reduction Strategies;ICSE2016_56;yes;no;;;
Comparing White-Box and Black-Box Test Prioritization;ICSE2016_57;yes;no;;;
How Does Regression Test Prioritization Perform in Real-World Software Evolution?;ICSE2016_58;yes;no;;;
The Impact of Test Case Summaries on Bug Fixing Performance: An Empirical Investigation;ICSE2016_59;yes;yes;s, but only one task;Evaluation of test case summary tool, which improves comprehensibility, on two tests;Test target class, fix as many bugs as possible
Nomen est Omen: Exploring and Exploiting Similarities between Argument and Parameter Names;ICSE2016_6;yes;no;;;
Reducing Combinatorics in GUI Testing of Android Applications;ICSE2016_60;yes;no;;;
MobiPlay: A Remote Execution Based Record-and-Replay Tool for Mobile Applications;ICSE2016_61;yes;no;;;
VDTest: An Automated Framework to Support Testing for Virtual Devices;ICSE2016_62;yes;no;;;
Automated Test Suite Generation for Time-Continuous Simulink Models;ICSE2016_63;yes;no;;;
Missing Data Imputation Based on Low-Rank Recovery and Semi-Supervised Regression for Software Effort Estimation;ICSE2016_64;yes;no;;;
Performance Issues and Optimizations in JavaScript: An Empirical Study;ICSE2016_65;yes;no;;;
Multi-objective Software Effort Estimation;ICSE2016_66;yes;no;;;
A Practical Guide to Select Quality Indicators for Assessing Pareto-Based Search Algorithms in Search-Based Software Engineering;ICSE2016_67;yes;no;;;
A Comparison of 10 Sampling Algorithms for Configurable Systems;ICSE2016_68;yes;no;;;
Featured Model-Based Mutation Analysis;ICSE2016_69;yes;no;;;
Floating-Point Precision Tuning Using Blame Analysis;ICSE2016_7;yes;no;;;
Feature-Model Interfaces: The Highway to Compositional Analyses of Highly-Configurable Systems;ICSE2016_70;yes;no;;;
How Does the Degree of Variability Affect Bug Finding?;ICSE2016_71;yes;yes;both;Controlled study, studying how degrees of variability influence time/accuracy of bug finding. Three snippets with three levels of variability each. Each snippet is discussed individually, but also some averages across tasks;Identify bugs in code
Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis;ICSE2016_72;yes;no;;;
An Analysis of the Search Spaces for Generate and Validate Patch Generation Systems;ICSE2016_73;yes;no;;;
PAC Learning-Based Verification and Model Synthesis;ICSE2016_74;yes;no;;;
StubDroid: Automatic Inference of Precise Data-Flow Summaries for the Android Framework;ICSE2016_75;yes;no;;;
Reliability of Run-Time Quality-of-Service Evaluation Using Parametric Model Checking;ICSE2016_76;yes;no;;;
Exploring Language Support for Immutability;ICSE2016_77;yes;yes;na;Interviews and small pilot study with 3 developers regarding immutability in Java, four tasks of 90 minutes, but only exploration;Various tasks regarding immutability
The Evolution of C Programming Practices: A Study of the Unix Operating System 1973-2015;ICSE2016_78;yes;no;;;
